Price,BHK,beds,baths,balcony,covered-parking,Carpet Area,Developer,Project,Floor,Transaction type,Status,Lifts,Address,Furnishing,Flooring,Water Availability,Status of Electricity
₹1.30 Cr,3 ,3Beds,2Baths,1Balcony,,800,,,3 (Out of 3 Floors),Resale,Ready to Move,,"Old Rajendra Nagar, New Delhi - Central, Delhi NCR",Semi-Furnished,Marble,,
₹41.0 Lac, 855 Sq-ft  2 ,2Beds,2Baths,,,855,,,2 (Out of 3 Floors),Resale,Ready to Move,,"Malviya Nagar, New Delhi - South, Delhi NCR",Furnished,,,
₹19.0 Lac,2 ,2Beds,,1Balcony,,490,,Batla House,4 (Out of 6 Floors),Resale,Ready to Move,,"P1433, Near Riverland Public school, Okhla New Delhi 110025, Okhla, New Delhi - South, Delhi NCR",Unfurnished,,,
₹55.0 Lac,2 ,2Beds,2Baths,,,70sqyrd,,,Ground (Out of 4 Floors),Resale,Ready to Move,,"Sector 22 Rohini, New Delhi - Rohini, Delhi NCR",Unfurnished,,,
₹85.0 Lac, 1150 Sq-ft  3 ,3Beds,3Baths,1Balcony,,1150,,,1 (Out of 3 Floors),Resale,Ready to Move,,"Shree Balaji Apartment, Flat no-UG 2, Plot no-164, Khasra no-322, Nebsarai, New Delhi, Neb Sarai, New Delhi - South, Delhi NCR",Semi-Furnished,,,
₹50.0 Lac,2 ,2Beds,2Baths,,,1000,,,1 (Out of 4 Floors),Resale,Ready to Move,,"Masihgarh, New Delhi - South, Delhi NCR",Unfurnished,,,
₹3.40 Cr,3 ,3Beds,2Baths,1Balcony,,200sqyrd,,,3 (Out of 4 Floors),Resale,Ready to Move,,"Green Park Extension, New Delhi - South, Delhi NCR",Unfurnished,,,
₹2.10 Cr,3 ,3Beds,3Baths,1Balcony,,1400,,,2 (Out of 4 Floors),Resale,Ready to Move,,"Hudson Lane, New Delhi - North, Delhi NCR",Unfurnished,,,
₹90.0 Lac,2 ,2Beds,2Baths,,,748,,,1 (Out of 4 Floors),Resale,Ready to Move,,"A-4 block, Paschim Vihar, New Delhi - West, Delhi NCR",Unfurnished,,,
₹2.50 Cr,3 ,3Beds,3Baths,2Balconies,,1700,,,3 (Out of 4 Floors),Resale,Ready to Move,,"Bank Enclave, New Delhi - East, Delhi NCR",Semi-Furnished,,,
₹4.50 Cr,2 ,2Beds,2Baths,3Balconies,,80,Godrej Properties,Godrej South Estate,14 (Out of 29 Floors),Resale,,,"Okhla, New Delhi - South, Delhi NCR",Unfurnished,,,
₹50.0 Lac,2 ,2Beds,2Baths,,,670,,,2 (Out of 5 Floors),Resale,Ready to Move,,"New Ashok Nagar, New Delhi - East, Delhi NCR",Semi-Furnished,,24 Hours Available,No/Rare Powercut
₹2.50 Cr,3 ,3Beds,3Baths,1Balcony,,1400,,,2 (Out of 4 Floors),Resale,,,"roop nagar new delhi, Roop Nagar, New Delhi - North, Delhi NCR",Unfurnished,Vitrified,,
₹1.35 Cr, 1000 Sq-ft  2 ,2Beds,2Baths,,,900,,,Ground (Out of 4 Floors),Resale,Ready to Move,,"Lajpat Nagar, New Delhi - South, Delhi NCR",Unfurnished,,,
₹54.0 Lac,2 ,2Beds,2Baths,,,600,,,Ground (Out of 3 Floors),Resale,,,"Karampura, New Delhi - West, Delhi NCR",Unfurnished,,,
₹1.50 Cr,2 ,2Beds,2Baths,2Balconies,,1200,Cooperative Group Housing Society,Philips Towers,3 (Out of 8 Floors),Resale,Ready to Move,,"Sector 23 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,,,
₹80.0 Lac,3 ,3Beds,3Baths,1Balcony,,1200,,,1 (Out of 2 Floors),Resale,Ready to Move,,"Mohan Garden, New Delhi - West, Delhi NCR",Unfurnished,,,
₹1.25 Cr, 1600 Sq-ft  3 ,3Beds,3Baths,,,1600,,,3 (Out of 4 Floors),Resale,Ready to Move,,"Sarita Vihar, New Delhi - South, Delhi NCR",Furnished,,,
₹85.0 Lac,2 ,2Beds,2Baths,,,1150,,,4 (Out of 4 Floors),Resale,Ready to Move,,"Ghazipur, New Delhi - East, Delhi NCR",Semi-Furnished,Mosaic,24 Hours Available,No/Rare Powercut
₹28.5 Lac,2 ,2Beds,2Baths,1Balcony,1 Covered Parking,600,,,2 (Out of 4 Floors),Resale,,,"Sultanpur, New Delhi - South, Delhi NCR",Unfurnished,Normal Tiles/Kotah Stone,24 Hours Available,No/Rare Powercut
₹32.0 Lac,3 ,3Beds,2Baths,,,715,,,1 (Out of 4 Floors),Resale,Ready to Move,,"om  vihar uttam nagar, Uttam Nagar, New Delhi - West, Delhi NCR",Unfurnished,,,
₹4.50 Cr, 2100 Sq-ft  3 ,3Beds,3Baths,2Balconies,,1900,,,1 (Out of 4 Floors),Resale,Ready to Move,,"Panchsheel Enclave, New Delhi - South, Delhi NCR",Unfurnished,,,
₹28.0 Lac, 650 Sq-ft  2 ,2Beds,2Baths,1Balcony,,600,,,1 (Out of 4 Floors),Resale,Ready to Move,,"Sector 23 Rohini, New Delhi - Rohini, Delhi NCR",Unfurnished,,,
₹25.0 Lac,2 ,2Beds,,1Balcony,1 Covered Parking,53sqyrd,,,1 (Out of 3 Floors),Resale,Ready to Move,,"Kiran Garden, New Delhi - West, Delhi NCR",Semi-Furnished,Marble,6 Hours Available,No/Rare Powercut
₹1.80 Cr,3 ,3Beds,2Baths,3Balconies,,1500,Delhi Development Authority DDA,DDA Golf View Apartments,3 (Out of 3 Floors),Resale,Ready to Move,,"C block., Saket, New Delhi - South, Delhi NCR",Unfurnished,,,
₹1.25 Cr,2 ,2Beds,,,,100sqyrd,,,,Resale,Ready to Move,,"Subhash Nagar, New Delhi - West, Delhi NCR",,,,
₹1.40 Cr,3 ,3Beds,2Baths,,,1150,NDMC,Keshav Kunj Apartments,2 (Out of 3 Floors),Resale,Ready to Move,,"Vikaspuri, New Delhi - West, Delhi NCR",Semi-Furnished,,,
₹1.95 Cr,3 ,3Beds,3Baths,2Balconies,,1100,,RWA Kailash Hills,3 (Out of 3 Floors),Resale,Ready to Move,,"Kailash hills, New Delhi - South, Delhi NCR",Furnished,,,
₹75.0 Lac, 1000 Sq-ft  2 ,2Beds,,,,700,,,Lower Basement (Out of 4 Floors),Resale,Ready to Move,,"House no 193 Pocket 40 Chittaranjan Park New Delhi, Chittaranjan Park, New Delhi - South, Delhi NCR",Semi-Furnished,"Marble, Normal Tiles/Kotah Stone",24 Hours Available,No/Rare Powercut
₹95.0 Lac,2 ,2Beds,2Baths,,,1100,Cooperative Group Housing Society,Westend Apartment,Ground (Out of 4 Floors),Resale,Ready to Move,,"Sector 4 Rohini, New Delhi - Rohini, Delhi NCR",Semi-Furnished,"Marble, Normal Tiles/Kotah Stone",24 Hours Available,No/Rare Powercut
₹45.0 Lac, 90 Sq-yrd  3 ,3Beds,2Baths,1Balcony,1 Covered Parking,85sqyrd,,,1 (Out of 4 Floors),New Property,Ready to Move,,"Mansa Ram Park, Dwaraka More, New Delhi - West, Delhi NCR",Semi-Furnished,Marble,24 Hours Available,No/Rare Powercut
₹99.0 Lac, 135 Sq-yrd  3 ,3Beds,4Baths,,1 Covered Parking,110sqyrd,,,4 (Out of 4 Floors),Resale,Ready to Move,,"C Block, Deep Vihar, New Delhi - Rohini, Delhi NCR",Unfurnished,Granite,24 Hours Available,No/Rare Powercut
₹70.0 Lac, 950 Sq-ft  2 ,2Beds,2Baths,,,850,,,2 (Out of 3 Floors),Resale,Ready to Move,,"Hari Nagar, New Delhi - West, Delhi NCR",Furnished,,,
₹80.0 Lac,3 ,3Beds,3Baths,,1 Covered Parking,1500,Delhi Development Authority DDA,DDA Freedom Fighter Enclave,1 (Out of 4 Floors),New Property,Ready to Move,,"Saket, Saket, New Delhi - South, Delhi NCR",Semi-Furnished,"Vitrified, Wooden",24 Hours Available,No/Rare Powercut
₹1.99 Cr,3 ,3Beds,2Baths,3Balconies,,1300,Delhi Development Authority DDA,DDA Flats Sector D Pocket 7,2 (Out of 3 Floors),Resale,Ready to Move,,"D-7 vasant kunj, Vasant Kunj, New Delhi - South, Delhi NCR",Unfurnished,,,
₹1.70 Cr,2 ,2Beds,2Baths,2Balconies,1 Covered Parking,1100,Cooperative Group Housing Society,Sarve Sanjivani Appartment,6 (Out of 10 Floors),Resale,Ready to Move,2.0,"Flat No 000 Sarve Sanjhi CGHS Ltd Sector - 9, Dwarka, New Delhi - 110075, Sector 9 Dwarka, New Delhi - Dwarka, Delhi NCR",Unfurnished,Marble,24 Hours Available,No/Rare Powercut
₹4.28 Cr,3 ,3Beds,2Baths,3Balconies,2 Covered Parking,2250,,,3 (Out of 4 Floors),Resale,Ready to Move,,"Hauz Khas, Hauz Khas, New Delhi - South, Delhi NCR",Semi-Furnished,"Marble, Wooden",24 Hours Available,No/Rare Powercut
₹2.0 Cr,2 ,2Beds,2Baths,2Balconies,1 Covered Parking,1400,Delhi Development Authority DDA,DDA Flats Vasant Kunj,3 (Out of 4 Floors),Resale,Ready to Move,,"Vasant Kunj, New Delhi, Sector A Vasant Kunj, New Delhi - South, Delhi NCR",Unfurnished,Ceramic Tiles,24 Hours Available,No/Rare Powercut
₹1.75 Cr,2 ,2Beds,2Baths,1Balcony,,1050,Delhi Development Authority DDA,DDA Flats Sector A Pocket B & C,2 (Out of 4 Floors),Resale,Ready to Move,,"2bhk 3rd floor CORNER for sale Sector A Pocket B  C Vasant Kunj South Delhi, Sector A Vasant Kunj, New Delhi - South, Delhi NCR",Unfurnished,Mosaic,24 Hours Available,No/Rare Powercut
₹1.30 Cr,3 ,3Beds,3Baths,,,1200,Cooperative Group Housing Society,Charak Sadan,1 (Out of 3 Floors),Resale,Ready to Move,,"Vikaspuri, New Delhi, Vikaspuri, New Delhi - West, Delhi NCR",Unfurnished,"Ceramic Tiles, Granite, Mosaic",24 Hours Available,No/Rare Powercut
₹1.55 Cr,2 ,2Beds,2Baths,2Balconies,,1000,,,1 (Out of 3 Floors),Resale,Ready to Move,,"Munirka, New Delhi, JNU Campus Old, New Delhi - South, Delhi NCR",Unfurnished,"Mosaic, Vitrified, Wooden, Ceramic Tiles, Marble, Granite",,
₹45.0 Lac,2 ,2Beds,2Baths,1Balcony,,60sqm,,,2 (Out of 4 Floors),Resale,Ready to Move,,"Pocket 21., Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",Semi-Furnished,Marble,12 Hours Available,No/Rare Powercut
₹2.10 Cr,3 ,3Beds,2Baths,2Balconies,,1500,Delhi Development Authority DDA,DDA Flat Sector D Pocket 3,2 (Out of 3 Floors),Resale,Ready to Move,,"sector d3 and d4, Vasant Kunj, New Delhi - South, Delhi NCR",Semi-Furnished,Vitrified,24 Hours Available,No/Rare Powercut
₹1.20 Cr,3 ,3Beds,2Baths,,,1200,,,7 (Out of 7 Floors),Resale,Ready to Move,,"New Delhi, Indraprastha Extension, New Delhi - East, Delhi NCR",Unfurnished,,,
₹1.05 Cr,3 ,3Beds,2Baths,,1 Covered Parking,1120,,,1 (Out of 4 Floors),Resale,Ready to Move,,"sector 8 block b, Sector 8 Dwarka, New Delhi - Dwarka, Delhi NCR",Furnished,Marble,24 Hours Available,No/Rare Powercut
₹2.35 Cr,3 ,3Beds,3Baths,2Balconies,,1800,Delhi Development Authority DDA,DDA Gaurav Apartment,Ground (Out of 2 Floors),Resale,Ready to Move,,"g block, Saket, New Delhi - South, Delhi NCR",Furnished,Ceramic Tiles,24 Hours Available,No/Rare Powercut
₹1.10 Cr,3 ,3Beds,3Baths,,1 Covered Parking,1750,Delhi Development Authority DDA,DDA Freedom Fighter Enclave,3 (Out of 3 Floors),Resale,Ready to Move,,"block b, Freedom Fighters Enclave, New Delhi - South, Delhi NCR",Semi-Furnished,"Ceramic Tiles, Granite, Marble, Vitrified, Wooden",24 Hours Available,No/Rare Powercut
₹2.15 Cr,3 ,3Beds,2Baths,1Balcony,,1200,,,5 (Out of 7 Floors),Resale,Ready to Move,,"Joshi Property Katwaria Sarai, Katwaria Sarai, New Delhi - South, Delhi NCR",Unfurnished,,,
₹45.0 Lac,3 ,3Beds,2Baths,1Balcony,,1200,,,3 (Out of 5 Floors),New Property,Ready to Move,,"govindpuri main New Delhi, Govindpuri Main, New Delhi - South, Delhi NCR",Unfurnished,Marble,24 Hours Available,No/Rare Powercut
₹1.07 Cr,2 ,2Beds,2Baths,,,950,Delhi Development Authority DDA,DDA Tarang Apartment,2 (Out of 3 Floors),Resale,Ready to Move,,"Tarang ApartmentI.P.Extension, Patparganj, Delhi, 110092, Indraprastha Extension, New Delhi - East, Delhi NCR",Semi-Furnished,Mosaic,24 Hours Available,No/Rare Powercut
₹2.25 Cr,3 ,3Beds,3Baths,2Balconies,,150sqyrd,,,1 (Out of 4 Floors),New Property,Ready to Move,,"b1 block Janak Puri, Janakpuri, New Delhi - West, Delhi NCR",Semi-Furnished,,,
₹1.25 Cr,3 ,3Beds,2Baths,1Balcony,1 Covered Parking,850,,,2 (Out of 4 Floors),Resale,Ready to Move,,"Delhi, Poorvi Pitampura, New Delhi - West, Delhi NCR",Semi-Furnished,"Marble, Normal Tiles/Kotah Stone",24 Hours Available,No/Rare Powercut
₹1.65 Cr,3 ,3Beds,3Baths,2Balconies,,1300,,,3 (Out of 4 Floors),Resale,Ready to Move,,"A block, Lajpat Nagar 1, New Delhi - South, Delhi NCR",Semi-Furnished,,,
₹2.10 Cr,3 ,3Beds,2Baths,1Balcony,,1500,,,1 (Out of 3 Floors),New Property,Ready to Move,,"Alaknanda, Alaknanda, New Delhi - South, Delhi NCR",Semi-Furnished,,,
₹2.10 Cr,3 ,3Beds,2Baths,2Balconies,2 Covered Parking,160sqyrd,,,2 (Out of 4 Floors),Resale,Ready to Move,,"New Delhi, Dayanand Vihar, New Delhi - East, Delhi NCR",Furnished,"Mosaic, Vitrified, Wooden, Ceramic Tiles, Marble, Normal Tiles/Kotah Stone, Granite, Marbonite",24 Hours Available,No/Rare Powercut
₹1.50 Cr,2 ,2Beds,2Baths,2Balconies,,1000,Cooperative Group Housing Society,Hindustan Times Apartment,Ground (Out of 4 Floors),Resale,Ready to Move,,"hindustan times apartment, Mayur Vihar 1, New Delhi - East, Delhi NCR",Semi-Furnished,Marble,24 Hours Available,No/Rare Powercut
₹1.25 Cr,2 ,2Beds,2Baths,,,1150,Delhi Development Authority DDA,DDA Green View Apartments,2 (Out of 4 Floors),Resale,Ready to Move,,"DDA Flats Pocket 2 Sector 19 Dwarka New Delhi, Sector 19 Dwarka, New Delhi - Dwarka, Delhi NCR",Unfurnished,"Vitrified, Wooden",,
₹45.0 Lac,3 ,3Beds,2Baths,,1 Covered Parking,1000,,,4 (Out of 4 Floors),New Property,Ready to Move,,"Dwarka Mor, New Delhi - West, Delhi NCR",Furnished,"Vitrified, Marble, Normal Tiles/Kotah Stone, Granite",24 Hours Available,No/Rare Powercut
₹17.0 Cr,3 ,3Beds,3Baths,2Balconies,,2100,,,Ground (Out of 4 Floors),Resale,Ready to Move,,"Sarvapriya vihar, gated society with guards, cctv, wide road, near mother public school, walkin distance to hauz khas metro., Sarvapriya Vihar, New Delhi - South, Delhi NCR",Unfurnished,"Wooden, Marble, Granite",,
₹2.60 Cr,3 ,3Beds,3Baths,2Balconies,,1500,Delhi Development Authority DDA,DDA Golf View Apartments,Ground (Out of 3 Floors),Resale,Ready to Move,,"saket, Saket, New Delhi - South, Delhi NCR",Unfurnished,"Vitrified, Ceramic Tiles",24 Hours Available,No/Rare Powercut
₹6.25 Cr,3 ,3Beds,3Baths,3Balconies,1 Covered Parking,1850,,,1 (Out of 4 Floors),Resale,Ready to Move,,"New Delhi, Anand Niketan, New Delhi - South, Delhi NCR",Semi-Furnished,"Wooden, Marble, Granite",24 Hours Available,No/Rare Powercut
₹1.35 Cr,2 ,2Beds,2Baths,1Balcony,,900,,,1 (Out of 3 Floors),New Property,Ready to Move,,"New Delhi, Malviya Nagar, New Delhi - South, Delhi NCR",Unfurnished,,,
₹2.95 Cr,3 ,3Beds,3Baths,3Balconies,,287sqyrd,,,2 (Out of 3 Floors),New Property,Ready to Move,,"New Delhi, New Friends Colony, New Delhi - South, Delhi NCR",Semi-Furnished,,,
₹4.50 Cr,3 ,3Beds,4Baths,2Balconies,,1800,,,4 (Out of 4 Floors),Resale,Ready to Move,,"jangpura extension, Jangpura Extension, New Delhi - South, Delhi NCR",Semi-Furnished,Marble,,
₹40.0 Lac,2 ,2Beds,2Baths,1Balcony,,525,,,3 (Out of 4 Floors),New Property,Ready to Move,,"Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",Semi-Furnished,"Marble, Normal Tiles/Kotah Stone",24 Hours Available,No/Rare Powercut
₹4.50 Cr,3 ,3Beds,4Baths,2Balconies,,2250,,,3 (Out of 4 Floors),Resale,Ready to Move,,"nice location, Jangpura Extension, New Delhi - South, Delhi NCR",Semi-Furnished,Marble,24 Hours Available,No/Rare Powercut
₹1.50 Cr,3 ,3Beds,2Baths,2Balconies,,1500,,,Ground (Out of 4 Floors),Resale,Ready to Move,,"patparganj, Indraprastha Extension, New Delhi - East, Delhi NCR",Unfurnished,Mosaic,,
₹1.10 Cr,3 ,3Beds,3Baths,,,1200,Delhi Development Authority DDA,DDA Bhawani Kunj,2 (Out of 4 Floors),New Property,Ready to Move,,"Behind D2, Sector D Vasant Kunj, New Delhi - South, Delhi NCR",Semi-Furnished,Ceramic Tiles,,
₹2.45 Cr,3 ,3Beds,2Baths,1Balcony,,1100,Cooperative Group Housing Society,Sunrise Apartment,2 (Out of 3 Floors),Resale,Ready to Move,,"Pocket 37, Sector 13, Rohini, New Delhi, Sector 13 Rohini, New Delhi - Rohini, Delhi NCR",Unfurnished,Vitrified,,
₹2.30 Cr,3 ,3Beds,3Baths,1Balcony,,1300,,,1 (Out of 3 Floors),New Property,Ready to Move,,"New Delhi, Hudson Lane, New Delhi - North, Delhi NCR",Semi-Furnished,,,
₹2.25 Cr,3 ,3Beds,3Baths,1Balcony,1 Covered Parking,200sqyrd,Hargobind Group,Hargobind Enclave,Ground (Out of 4 Floors),Resale,Ready to Move,,"6000., Chhattarpur, New Delhi - South, Delhi NCR",Semi-Furnished,Marble,24 Hours Available,No/Rare Powercut
₹1.12 Cr,3 ,3Beds,2Baths,1Balcony,,1125,,Maitri Apartments,Ground (Out of 3 Floors),Resale,Ready to Move,,"Indraprastha Extension. New Delhi., Patparganj, New Delhi - East, Delhi NCR",Semi-Furnished,"Ceramic Tiles, Mosaic, Vitrified",24 Hours Available,No/Rare Powercut
₹80.0 Lac,3 ,3Beds,3Baths,,,1150,Ansals Buildwell Ltd.,Ansal ANASAL VILLAS,2 (Out of 4 Floors),New Property,Ready to Move,,"chhatarpur metro sation, Chhattarpur, New Delhi - South, Delhi NCR",Semi-Furnished,Granite,,
₹2.05 Cr,2 ,2Beds,2Baths,2Balconies,,750,,,3 (Out of 3 Floors),New Property,Ready to Move,,"jangpura, Jangpura Extension, New Delhi - South, Delhi NCR",Semi-Furnished,"Wooden, Ceramic Tiles",24 Hours Available,No/Rare Powercut
₹3.0 Cr,3 ,3Beds,3Baths,2Balconies,1 Covered Parking,1250,,,1 (Out of 4 Floors),New Property,Ready to Move,,"Block-B, Safdarjung Enclave, New Delhi - South, Delhi NCR",Semi-Furnished,"Granite, Wooden",24 Hours Available,No/Rare Powercut
₹2.05 Cr,3 ,3Beds,2Baths,1Balcony,,1100,Cooperative Group Housing Society,Neelgiri Apartment,Ground (Out of 4 Floors),Resale,Ready to Move,,"Delhi, Sector 9 Rohini, New Delhi - Rohini, Delhi NCR",Unfurnished,Marble,,
₹5.10 Cr,3 ,3Beds,4Baths,2Balconies,2 Covered Parking,1600,Arya Group,Arya Chittaranjan Park,3 (Out of 3 Floors),New Property,Ready to Move,,"Kalkaji, Delhi South, Delhi., Chittaranjan Park Block E, New Delhi - South, Delhi NCR",Semi-Furnished,"Marble, Wooden",24 Hours Available,No/Rare Powercut
₹2.60 Cr,3 ,3Beds,3Baths,2Balconies,,1600,Delhi Development Authority DDA,DDA Flats Sector D Pocket 7,2 (Out of 4 Floors),Resale,Ready to Move,,"sector-d pocket-7 vasant kunj Delhi South, Vasant Kunj, New Delhi - South, Delhi NCR",Semi-Furnished,Ceramic Tiles,24 Hours Available,No/Rare Powercut
₹1.50 Cr,2 ,2Beds,2Baths,,,1000,,,Ground (Out of 3 Floors),New Property,Ready to Move,,"Vasant Kunj, New Delhi, Vasant Kunj, New Delhi - South, Delhi NCR",Unfurnished,Mosaic,24 Hours Available,No/Rare Powercut
₹1.58 Cr,3 ,3Beds,2Baths,3Balconies,,1500,Delhi Development Authority DDA,DDA Atulya Apartment,3 (Out of 10 Floors),Resale,Ready to Move,2.0,"229 atulya apartment, Sector 18A Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,"Mosaic, Vitrified",24 Hours Available,No/Rare Powercut
₹80.0 Lac,3 ,3Beds,2Baths,1Balcony,,1125,,,2 (Out of 5 Floors),New Property,Ready to Move,,"d 23, Panchsheel Vihar, New Delhi - South, Delhi NCR",Semi-Furnished,,,
₹65.0 Lac,3 ,3Beds,3Baths,,,1170,JVTS Group,JVTS Gardens,2 (Out of 5 Floors),New Property,Ready to Move,,"Chhattarpur, New Delhi - South, Delhi NCR",Semi-Furnished,,,
₹2.25 Cr,3 ,3Beds,3Baths,2Balconies,1 Covered Parking,160sqyrd,,,3 (Out of 4 Floors),Resale,Ready to Move,,"Chittaranjan Park, Chittaranjan Park Block B, New Delhi - South, Delhi NCR",Unfurnished,"Ceramic Tiles, Granite, Marble, Marbonite, Mosaic, Normal Tiles/Kotah Stone, Vitrified",24 Hours Available,No/Rare Powercut
₹1.10 Cr,2 ,2Beds,2Baths,1Balcony,,900,Delhi Development Authority DDA,DDA Shikha Apartment,Ground (Out of 4 Floors),Resale,Ready to Move,,"shika Apt Patparganj IP Extension, Patparganj, New Delhi - East, Delhi NCR",Semi-Furnished,,,
₹82.0 Lac,2 ,2Beds,2Baths,1Balcony,,900,East India Earth Movers,East End Apartments,2 (Out of 4 Floors),New Property,Ready to Move,,"New Delhi, New Ashok Nagar, New Delhi - East, Delhi NCR",Semi-Furnished,,,
₹2.55 Cr,3 ,3Beds,2Baths,5Balconies,1 Covered Parking,1605,DLF Ltd.,DLF Capital Greens 1 and 2,4 (Out of 22 Floors),Resale,Ready to Move,4.0,"Moti Nagar, New Delhi, Karam Pura, New Delhi - West, Delhi NCR",Semi-Furnished,"Marble, Vitrified, Wooden",24 Hours Available,No/Rare Powercut
₹97.0 Lac,3 ,3Beds,2Baths,,,1050,,RWA GG1 Block Vikaspuri,Ground (Out of 3 Floors),Resale,Ready to Move,,"Vikaspuri, New Delhi, Vikaspuri, New Delhi - West, Delhi NCR",Furnished,"Marble, Vitrified",24 Hours Available,No/Rare Powercut
₹45.0 Lac,3 ,3Beds,2Baths,1Balcony,1 Covered Parking,1050,,,1 (Out of 4 Floors),New Property,Ready to Move,,"Chhattarpur, New Delhi - South, Delhi NCR",Semi-Furnished,Ceramic Tiles,,
₹1.20 Cr,3 ,3Beds,2Baths,1Balcony,1 Covered Parking,1000,,,1 (Out of 3 Floors),Resale,Ready to Move,,"Sector 11 Rohini, New Delhi - Rohini, Delhi NCR",Semi-Furnished,"Marble, Normal Tiles/Kotah Stone",24 Hours Available,No/Rare Powercut
₹1.65 Cr,3 ,3Beds,2Baths,2Balconies,,1380,Delhi Development Authority DDA,DDA Mayur Dhwaj Apartment,5 (Out of 7 Floors),Resale,Ready to Move,2.0,"Patparganj, Indraprastha Extension, New Delhi - East, Delhi NCR",Unfurnished,"Wooden, Marble",24 Hours Available,No/Rare Powercut
₹2.50 Cr,3 ,3Beds,3Baths,1Balcony,2 Covered Parking,170sqyrd,,,Ground (Out of 4 Floors),Resale,Ready to Move,,"avtar enclave, Avtar Enclave, New Delhi - West, Delhi NCR",Furnished,Marble,24 Hours Available,No/Rare Powercut
₹2.73 Cr,3 ,3Beds,3Baths,3Balconies,,1400,,Anandlok Housing Society,Ground (Out of 4 Floors),Resale,Ready to Move,2.0,"Mayur Vihar 1, New Delhi, Acharya Niketan, New Delhi - East, Delhi NCR",Semi-Furnished,Ceramic Tiles,24 Hours Available,No/Rare Powercut
₹65.0 Lac,3 ,3Beds,3Baths,1Balcony,1 Covered Parking,1250,,,2 (Out of 4 Floors),New Property,Ready to Move,,"1 2., Chhattarpur Enclave, New Delhi - South, Delhi NCR",Unfurnished,"Ceramic Tiles, Marbonite",24 Hours Available,No/Rare Powercut
₹1.25 Cr,3 ,3Beds,2Baths,1Balcony,1 Covered Parking,1000,,,1 (Out of 4 Floors),New Property,Ready to Move,,"Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",Semi-Furnished,"Marble, Normal Tiles/Kotah Stone",24 Hours Available,No/Rare Powercut
₹2.65 Cr,3 ,3Beds,3Baths,2Balconies,1 Covered Parking,1250,Delhi Development Authority DDA,DDA Site 20,1 (Out of 4 Floors),New Property,Ready to Move,,"F block new Rajendra nagar, New Rajendra Nagar, New Delhi - Central, Delhi NCR",Semi-Furnished,Marble,24 Hours Available,No/Rare Powercut
₹2.40 Cr,3 ,3Beds,3Baths,1Balcony,2 Covered Parking,120sqyrd,,,3 (Out of 3 Floors),Resale,Ready to Move,,"Sunder Vihar, Sunder Vihar, New Delhi - West, Delhi NCR",Semi-Furnished,"Ceramic Tiles, Granite, Marble, Normal Tiles/Kotah Stone",24 Hours Available,No/Rare Powercut
₹32.0 Lac,2 ,2Beds,2Baths,1Balcony,,75sqyrd,,,2 (Out of 4 Floors),Resale,Ready to Move,,"Dwarka Mor, New Delhi - West, Delhi NCR",Semi-Furnished,,,
₹2.40 Cr,2 ,2Beds,2Baths,3Balconies,,1500,,,3 (Out of 3 Floors),New Property,Ready to Move,,"vasant Kunj D-2, Sector D Vasant Kunj, New Delhi - South, Delhi NCR",Semi-Furnished,,,
₹1.75 Cr,3 ,3Beds,3Baths,2Balconies,,1150,,,2 (Out of 4 Floors),Resale,Ready to Move,,"ds park, New Rajendra Nagar, New Delhi - Central, Delhi NCR",Semi-Furnished,Marble,,
₹33.0 Lac,2 ,2Beds,,,,425,,,Ground (Out of 4 Floors),Resale,Ready to Move,,"Vikaspuri, New Delhi - West, Delhi NCR",Semi-Furnished,Vitrified,,
₹1.75 Cr,3 ,3Beds,2Baths,2Balconies,,1450,,Siddhartha Extension Pocket B,1 (Out of 4 Floors),Resale,Ready to Move,,"Pocket b, Maharani Bagh, New Delhi - South, Delhi NCR",Unfurnished,Mosaic,24 Hours Available,No/Rare Powercut
₹1.15 Cr,3 ,3Beds,2Baths,,,1190,Gangawali Samaj CGHS Ltd.,Kurmanchal Niketan,2 (Out of 4 Floors),Resale,Ready to Move,,"I p extension, Indraprastha Extension, New Delhi - East, Delhi NCR",Semi-Furnished,,,
₹1.85 Cr,3 ,3Beds,2Baths,1Balcony,,1500,Cooperative Group Housing Society,United Apartments,5 (Out of 9 Floors),Resale,Ready to Move,,"Sector 4 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,,,
₹2.20 Cr,3 ,3Beds,3Baths,2Balconies,,1200,,,2 (Out of 4 Floors),Resale,Ready to Move,,"om sai properties old rajendera nagar new delhi, New Rajendra Nagar, New Delhi - Central, Delhi NCR",Unfurnished,"Mosaic, Vitrified, Wooden, Ceramic Tiles, Marble, Normal Tiles/Kotah Stone, Granite, Marbonite",,
₹3.0 Cr,3 ,3Beds,3Baths,2Balconies,,1900,,,2 (Out of 4 Floors),New Property,Ready to Move,,"Tilak Nagar, New Delhi - West, Delhi NCR",Unfurnished,Granite,,
₹2.50 Cr,3 ,3Beds,3Baths,2Balconies,,1800,,,1 (Out of 3 Floors),Resale,Ready to Move,,"New Delhi, Lajpat Nagar 2, New Delhi - South, Delhi NCR",Unfurnished,Mosaic,,
